-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.201, -0.027,  0.115
-183.800, 80.201, -0.012,  0.148
-183.800, 80.201, -0.010,  0.181
-183.800, 80.201, -0.009,  0.214
-183.800, 80.201, -0.007,  0.247
-183.800, 80.201, -0.006,  0.280
-183.800, 80.201, -0.004,  0.313
-183.800, 80.201, -0.002,  0.346
-183.800, 80.201, -0.001,  0.379
-183.800, 80.201, 0.001,  0.412
-183.800, 80.201, 0.003,  0.445
-183.800, 80.201, 0.005,  0.478
-183.800, 80.200, 0.007,  0.511
-183.800, 80.200, 0.009,  0.544
-183.800, 80.199, 0.011,  0.577
-183.800, 80.199, 0.013,  0.610
-183.800, 80.198, 0.015,  0.643
-183.800, 80.197, 0.017,  0.676
-183.800, 80.197, 0.019,  0.709
-183.800, 80.196, 0.022,  0.742
-183.800, 80.195, 0.024,  0.775
-183.800, 80.194, 0.026,  0.808
-183.800, 80.193, 0.028,  0.841
-183.800, 80.192, 0.030,  0.874
-183.800, 80.190, 0.032,  0.907
-183.800, 80.189, 0.034,  0.940
-183.800, 80.188, 0.036,  0.973
-183.799, 80.186, 0.038,  1.006
-183.799, 80.185, 0.040,  1.039
-183.799, 80.183, 0.042,  1.072
-183.799, 80.182, 0.045,  1.105
-183.799, 80.180, 0.047,  1.138
-183.799, 80.178, 0.049,  1.171
-183.799, 80.177, 0.052,  1.204
-183.799, 80.175, 0.055,  1.237
-183.798, 80.173, 0.056,  1.270
-183.798, 80.170, 0.094,  1.303
-183.798, 80.164, 0.179,  1.336
-183.798, 80.159, 0.177,  1.369
-183.797, 80.152, 0.231,  1.402
-183.797, 80.143, 0.276,  1.435
-183.796, 80.132, 0.325,  1.468
-183.795, 80.123, 0.283,  1.501
-183.794, 80.113, 0.295,  1.534
-183.794, 80.103, 0.289,  1.567
-183.793, 80.092, 0.344,  1.600
-183.792, 80.081, 0.335,  1.633
-183.791, 80.070, 0.338,  1.666
-183.790, 80.060, 0.327,  1.699
-183.789, 80.049, 0.340,  1.732
