-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.201, -0.027,  0.115
-183.800, 80.201, -0.013,  0.148
-183.800, 80.201, -0.011,  0.181
-183.800, 80.201, -0.010,  0.214
-183.801, 80.201, -0.008,  0.247
-183.801, 80.201, -0.007,  0.280
-183.801, 80.201, -0.005,  0.313
-183.801, 80.201, -0.003,  0.346
-183.801, 80.201, -0.001,  0.379
-183.801, 80.201, 0.001,  0.412
-183.801, 80.201, 0.003,  0.445
-183.800, 80.201, 0.005,  0.478
-183.800, 80.200, 0.007,  0.511
-183.800, 80.200, 0.009,  0.544
-183.800, 80.199, 0.011,  0.577
-183.800, 80.199, 0.013,  0.610
-183.800, 80.198, 0.015,  0.643
-183.800, 80.197, 0.018,  0.676
-183.800, 80.197, 0.020,  0.709
-183.800, 80.196, 0.022,  0.742
-183.800, 80.195, 0.024,  0.775
-183.800, 80.194, 0.026,  0.808
-183.800, 80.193, 0.028,  0.841
-183.800, 80.191, 0.030,  0.874
-183.800, 80.190, 0.032,  0.907
-183.799, 80.189, 0.034,  0.940
-183.799, 80.188, 0.037,  0.973
-183.799, 80.186, 0.039,  1.006
-183.799, 80.185, 0.041,  1.039
-183.799, 80.183, 0.043,  1.072
-183.799, 80.182, 0.045,  1.105
-183.799, 80.180, 0.048,  1.138
-183.798, 80.178, 0.050,  1.171
-183.798, 80.176, 0.052,  1.204
-183.798, 80.174, 0.076,  1.237
-183.798, 80.169, 0.123,  1.270
-183.797, 80.163, 0.202,  1.303
-183.796, 80.155, 0.232,  1.336
-183.795, 80.147, 0.252,  1.369
-183.794, 80.138, 0.234,  1.402
-183.793, 80.131, 0.216,  1.435
-183.793, 80.122, 0.245,  1.468
-183.791, 80.111, 0.333,  1.501
-183.790, 80.099, 0.357,  1.534
-183.789, 80.088, 0.347,  1.567
-183.788, 80.077, 0.366,  1.600
-183.787, 80.063, 0.413,  1.633
-183.785, 80.050, 0.386,  1.666
-183.784, 80.038, 0.361,  1.699
-183.783, 80.025, 0.391,  1.732
